"","minority","age","female","onecredit","beauty","course_eval","intro","nnenglish"
"1",1,36,1,0,0.28991574048996,4.30000019073486,0,0
"2",0,59,0,0,-0.737732231616974,4.5,0,0
"3",0,51,0,0,-0.571983575820923,3.70000004768372,0,0
"4",0,40,1,0,-0.677963376045227,4.30000019073486,0,0
"5",0,31,1,0,1.50979423522949,4.40000009536743,0,0
"6",0,62,0,0,0.588568687438965,4.19999980926514,0,0
"7",0,33,1,0,-0.126000985503197,4,0,0
"8",0,51,1,0,-0.258189857006073,3.40000009536743,0,0
"9",0,33,1,0,0.149692609906197,4.5,0,0
"10",0,47,0,0,0.540916979312897,3.90000009536743,0,0
"11",1,35,0,0,0.231613397598267,3.09999990463257,0,1
"12",0,37,0,0,-0.066673718392849,4,0,0
"13",0,42,0,0,0.21689236164093,3.79999995231628,0,0
"14",0,49,0,0,-0.258696228265762,3.40000009536743,0,1
"15",0,37,1,0,0.550287842750549,2.90000009536743,0,0
"16",0,45,0,0,-0.0620358027517796,4.5,0,0
"17",0,56,1,0,-0.982385158538818,4,0,0
"18",0,48,0,0,-0.0543439872562885,3.79999995231628,1,0
"19",0,46,1,0,-0.0680143162608147,4.30000019073486,0,0
"20",0,57,1,0,0.0294136963784695,3.40000009536743,0,0
"21",0,52,1,0,0.239485889673233,3.40000009536743,0,0
"22",1,29,1,0,-0.848726868629456,3.29999995231628,0,1
"23",0,62,0,0,-0.733091413974762,4.30000019073486,0,0
"24",0,64,0,0,-0.111122138798237,4.40000009536743,0,0
"25",0,34,1,0,1.77551651000977,4.59999990463257,0,0
"26",0,58,0,0,-0.321848452091217,4.19999980926514,0,0
"27",1,52,0,0,0.211693927645683,4,0,1
"28",0,73,0,0,-0.717645049095154,3.29999995231628,0,0
"29",0,70,0,0,-0.732692658901215,4.40000009536743,0,0
"30",0,41,1,0,0.408167600631714,2.29999995231628,0,0
"31",0,63,0,0,-0.010207686573267,3.5,0,0
"32",0,47,0,0,-0.923956990242004,4.69999980926514,0,0
"33",0,39,0,0,0.576680541038513,3.90000009536743,1,0
"34",1,47,1,0,-0.0836014524102211,4,1,0
"35",0,54,0,0,-1.07955777645111,4.30000019073486,0,0
"36",1,44,1,0,1.04090249538422,3.79999995231628,0,0
"37",1,47,0,0,-1.05210828781128,3.79999995231628,0,0
"38",0,62,0,0,-0.727768063545227,4,0,0
"39",0,60,0,0,-0.39539647102356,4.59999990463257,0,0
"40",0,37,0,0,0.93339592218399,3.5,0,0
"41",0,42,0,0,-0.237778633832932,4.69999980926514,0,0
"42",0,35,0,0,0.274908006191254,4.19999980926514,0,0
"43",0,39,1,0,1.97002339363098,3.40000009536743,1,0
"44",0,49,0,0,1.05094969272614,3.90000009536743,0,0
"45",0,61,0,0,0.241818487644196,4.5,1,0
"46",0,33,0,0,1.34939467906952,4.69999980926514,0,0
"47",0,58,1,0,0.111563511192799,3.5,0,0
"48",0,56,1,0,-0.257725447416306,3.70000004768372,0,0
"49",0,50,1,0,-0.656268894672394,4,1,0
"50",0,52,0,0,-0.656394839286804,4.09999990463257,0,0
"51",0,33,1,0,0.724477529525757,4.40000009536743,0,0
"52",0,57,0,0,0.631834328174591,4.19999980926514,0,0
"53",0,38,1,0,1.07094395160675,4.5,0,0
"54",0,34,1,0,-1.45049393177032,3.79999995231628,1,0
"55",0,34,0,0,1.15587985515594,3.09999990463257,0,0
"56",0,32,0,0,-0.326014786958694,3.70000004768372,1,0
"57",0,42,1,0,0.884643495082855,3.90000009536743,1,0
"58",0,43,1,0,-0.558345198631287,4,1,0
"59",0,35,0,0,-0.341554313898087,3.29999995231628,0,1
"60",0,62,1,0,-0.504057466983795,3.09999990463257,0,0
"61",0,42,0,0,-0.900580406188965,4,0,0
"62",0,39,0,0,0.643014192581177,4.30000019073486,0,0
"63",0,52,1,0,0.773523986339569,3.70000004768372,0,0
"64",0,52,1,0,1.06393754482269,3.40000009536743,0,0
"65",0,52,1,0,-1.09038913249969,4.30000019073486,0,0
"66",0,64,0,0,-1.06916201114655,3.70000004768372,0,0
"67",0,50,0,0,1.41569542884827,4.19999980926514,0,0
"68",0,60,0,0,-1.42291855812073,2.20000004768372,0,0
"69",0,51,1,0,0.391822218894958,3,0,0
"70",0,43,0,0,-0.489962637424469,4.30000019073486,1,0
